,count
799,23
800,25
801,28
802,30
803,32
804,33
805,33
806,34
807,36
808,38
809,39
810,39
811,39
812,37
813,34
814,31
815,28
816,27
817,26
818,25
819,24
820,23
821,22
822,22
823,22
824,24
825,26
826,29
827,33
828,36
829,37
830,37
831,36
832,35
833,33
834,32
835,31
836,29
837,27
838,25
839,22
840,20
841,17
842,14
843,11
844,11
845,13
846,16
847,21
848,25
849,30
850,33
851,35
852,36
853,36
854,36
855,35
856,34
857,32
858,31
859,29
860,28
861,26
862,23
863,19
864,15
865,13
866,12
867,13
868,17
869,20
870,23
871,25
872,24
873,24
874,24
875,25
876,28
877,33
878,38
879,42
880,43
881,42
882,39
883,34
884,28
885,23
886,19
887,15
888,13
889,11
890,11
891,13
892,17
893,23
894,29
895,33
896,34
897,33
898,33
899,33
900,34
901,35
902,37
903,37
904,35
905,32
906,29
907,26
908,23
909,21
910,19
911,17
912,17
913,16
914,15
915,14
916,13
917,12
918,14
919,18
920,22
921,27
922,30
923,31
924,31
925,31
926,31
927,32
928,33
929,33
930,32
931,29
932,27
933,24
934,22
935,19
936,17
937,14
938,11
939,10
940,11
941,13
942,16
943,20
944,24
945,29
946,34
947,38
948,41
949,42
950,40
951,36
952,32
953,29
954,26
955,26
956,27
957,30
958,31
959,30
960,27
961,22
962,17
963,14
964,12
965,12
966,15
967,18
968,23
969,28
970,30
971,31
972,30
973,29
974,29
975,30
976,30
977,30
978,29
979,28
980,27
981,25
982,23
983,22
984,22
985,21
986,20
987,18
988,16
989,14
990,14
991,15
992,17
993,21
994,25
995,29
996,32
997,33
998,33
999,32
1000,29
1001,27
1002,26
1003,27
1004,28
1005,29
1006,28
1007,26
1008,22
1009,19
1010,16
1011,14
1012,13
1013,14
1014,16
1015,19
1016,22
1017,26
1018,29
1019,32
1020,33
1021,33
1022,32
1023,30
1024,28
1025,27
1026,26
1027,26
1028,26
1029,24
1030,22
1031,18
1032,15
1033,14
1034,14
1035,15
1036,16
1037,18
1038,21
1039,24
1040,27
1041,29
1042,28
1043,27
1044,27
1045,28
1046,29
1047,30
1048,32
1049,32
1050,31
1051,28
1052,25
1053,22
1054,19
1055,16
1056,15
1057,13
1058,12
1059,12
1060,11
1061,13
1062,15
1063,18
1064,21
1065,23
1066,26
1067,28
1068,30
1069,33
1070,35
1071,36
1072,35
1073,33
1074,30
1075,27
1076,24
1077,22
1078,19
1079,17
1080,15
1081,14
1082,14
1083,14
1084,15
1085,17
1086,20
1087,22
